title,links
apple pie,https://www.allrecipes.com/recipe/12682/apple-pie-by-grandma-ople/
baby back ribs,https://www.allrecipes.com/recipe/220987/baked-bbq-baby-back-ribs/
baklava,https://www.allrecipes.com/recipe/9454/greek-baklava/
beef carpaccio,https://www.allrecipes.com/recipe/270851/beet-carpaccio-with-mint-vinaigrette/
beef tartare,https://www.ambitiouskitchen.com/moms-slow-cooker-beef-stew/
beet salad,https://www.ambitiouskitchen.com/roasted-beet-hummus/
beignets,https://www.bbcgoodfood.com/recipes/beignets
bibimbap,https://www.allrecipes.com/recipe/228240/bibimbap-korean-rice-with-mixed-vegetables/
bread pudding,https://www.allrecipes.com/recipe/7177/bread-pudding-ii/
breakfast burrito,https://www.allrecipes.com/recipe/8318088/ham-and-cheese-bisuit-muffins/
bruschetta,https://www.allrecipes.com/recipe/54165/balsamic-bruschetta/
caesar salad,https://www.allrecipes.com/recipe/246106/classic-chicken-caesar-salad/
cannoli,https://www.allrecipes.com/recipe/88849/cannoli/
caprese salad,https://www.allrecipes.com/recipe/8453629/caprese-pasta-with-thai-basil/
carrot cake,https://www.allrecipes.com/recipe/7402/carrot-cake-iii/
ceviche,https://www.allrecipes.com/recipe/12819/ceviche/
cheese plate,https://www.allrecipes.com/recipe/189930/southern-pimento-cheese/
cheesecake,https://www.allrecipes.com/recipe/126432/master-recipe-for-rich-and-creamy-cheesecake/
chicken curry,https://www.allrecipes.com/recipe/212721/indian-chicken-curry-murgh-kari/
chicken quesadilla,https://www.allrecipes.com/recipe/21659/chicken-quesadillas/
chicken wings,https://www.allrecipes.com/recipe/187822/baked-chicken-wings/
chocolate cake,https://www.allrecipes.com/recipe/17528/extreme-chocolate-cake/
chocolate mousse,https://www.allrecipes.com/recipe/8529769/5-minute-baileys-chocolate-mousse/
churros,https://www.allrecipes.com/recipe/24700/churros/
clam chowder,https://www.allrecipes.com/recipe/13041/my-best-clam-chowder/
club sandwich,https://www.allrecipes.com/recipe/32150/lorraines-club-sandwich/
crab cakes,https://www.allrecipes.com/recipe/139340/baked-maryland-lump-crab-cakes/
creme brulee,https://www.allrecipes.com/recipe/19029/creme-brulee-ii/
croque madame,https://www.allrecipes.com/recipe/282252/croque-madame-on-brioche/
cup cakes,https://www.allrecipes.com/recipe/8487/raspberry-cup-cakes/
deviled eggs,https://www.allrecipes.com/recipe/228129/classic-savory-deviled-eggs/
donuts,https://www.allrecipes.com/recipe/276267/baked-chocolate-donuts/
dumplings,https://www.allrecipes.com/recipe/6900/dumplings/
edamame,https://www.allrecipes.com/recipe/110061/healthy-garden-salad/
eggs benedict,https://www.allrecipes.com/recipe/17205/eggs-benedict/
escargots,https://www.allrecipes.com/recipe/273938/baked-escargot/
falafel,https://www.allrecipes.com/recipe/241705/chef-johns-falafel/
filet mignon,https://www.allrecipes.com/recipe/30578/filet-mignon-with-rich-balsamic-glaze/
fish and chips,https://www.allrecipes.com/recipe/16580/classic-fish-and-chips/
foie gras,https://www.bbcgoodfood.com/recipes/faux-gras-toast-pickles
french fries,https://www.allrecipes.com/recipe/219634/chef-johns-french-fries/
french onion soup,https://www.allrecipes.com/recipe/13309/rich-and-simple-french-onion-soup/
french toast,https://www.allrecipes.com/recipe/7016/french-toast-i/
fried calamari,https://www.allrecipes.com/recipe/241725/deep-fried-calamari-rings/
fried rice,https://www.allrecipes.com/recipe/79543/fried-rice-restaurant-style/
frozen yogurt,https://www.allrecipes.com/recipe/142450/creamy-vanilla-frozen-yogurt/
garlic bread,https://www.allrecipes.com/recipes/14966/appetizers-and-snacks/garlic-bread/
gnocchi,https://www.allrecipes.com/recipe/18465/gnocchi-i/
greek salad,https://www.allrecipes.com/recipe/14373/greek-salad-i/
grilled cheese sandwich,https://www.allrecipes.com/recipe/23891/grilled-cheese-sandwich/
grilled salmon,https://www.allrecipes.com/recipe/12720/grilled-salmon-i/
guacamole,https://www.allrecipes.com/recipe/14231/guacamole/
gyoza,https://www.allrecipes.com/recipe/27190/gyoza/
hamburger,https://www.bbcgoodfood.com/recipes/beef-burger-sweet-potato-chilli-chips
hot and sour soup,https://www.allrecipes.com/recipe/80694/hot-and-sour-chicken-soup/
hot dog,https://www.allrecipes.com/recipe/134483/chicago-style-hot-dog/
huevos rancheros,https://www.allrecipes.com/recipe/143432/black-bean-huevos-rancheros/
hummus,https://www.allrecipes.com/recipe/141399/sun-dried-tomato-hummus/
ice cream,https://www.bbcgoodfood.com/recipes/easy-vanilla-ice-cream
lasagna,https://www.allrecipes.com/recipe/23600/worlds-best-lasagna/
lobster bisque,https://www.allrecipes.com/recipe/47894/special-lobster-bisque/
lobster roll sandwich,https://www.allrecipes.com/recipe/281432/vegan-lobster-rolls/
macaroni and cheese,https://www.allrecipes.com/recipe/238691/simple-macaroni-and-cheese/
macarons,https://www.allrecipes.com/recipe/223232/macarons/
miso soup,https://www.allrecipes.com/recipe/13107/miso-soup/
mussels,https://www.allrecipes.com/recipe/12718/mussels-mariniere/
nachos,https://www.allrecipes.com/recipe/51147/super-nachos/
omelette,https://www.allrecipes.com/recipe/262696/cheese-omelette/
onion rings,https://www.allrecipes.com/recipe/82659/old-fashioned-onion-rings/
oysters,https://www.allrecipes.com/recipe/18237/deep-fried-oysters/
pad thai,https://www.allrecipes.com/recipe/19306/sukhothai-pad-thai/
paella,https://www.allrecipes.com/recipe/84137/easy-paella/
pancakes,https://www.allrecipes.com/recipe/20334/banana-pancakes-i/
panna cotta,https://www.allrecipes.com/recipe/72567/panna-cotta/
peking duck,https://www.allrecipes.com/recipe/31972/peking-duck/
pho,https://www.allrecipes.com/recipe/228443/authentic-pho/
pizza,https://www.allrecipes.com/recipe/20171/quick-and-easy-pizza-crust/
pork chop,https://www.allrecipes.com/recipe/235158/worlds-best-honey-garlic-pork-chops/
poutine,https://www.allrecipes.com/recipe/79300/real-poutine/
prime rib,https://www.allrecipes.com/recipe/219587/christmas-prime-rib/
pulled pork sandwich,https://www.allrecipes.com/recipe/235950/slow-cooker-beer-pulled-pork/
ramen,https://www.allrecipes.com/recipe/16414/broccoli-and-ramen-noodle-salad/
ravioli,https://www.allrecipes.com/recipe/213131/homemade-four-cheese-ravioli/
red velvet cake,https://www.allrecipes.com/recipes/15595/desserts/cakes/red-velvet-cake/
risotto,https://www.allrecipes.com/recipe/259455/instant-pot-mushroom-risotto/
samosa,https://www.allrecipes.com/recipe/237072/indian-samosa-pie/
sashimi,https://www.bbcgoodfood.com/recipes/tiradito-chifa-tuna-sashimi
scallops,https://www.allrecipes.com/recipe/132358/easy-garlic-lemon-scallops/
seaweed salad,https://www.allrecipes.com/recipe/245793/kombu-seaweed-salad/
shrimp and grits,https://www.allrecipes.com/recipe/277151/cheesy-shrimp-and-grits/
spaghetti bolognese,https://www.allrecipes.com/recipe/217378/moms-spaghetti-bolognese/
spaghetti carbonara,https://www.allrecipes.com/recipe/11973/spaghetti-carbonara-ii/
spring rolls,https://www.allrecipes.com/recipe/26706/baked-pork-spring-rolls/
steak,https://www.allrecipes.com/recipe/18074/marinated-flank-steak/
strawberry shortcake,https://www.allrecipes.com/recipe/8201/strawberry-shortcake/
sushi,https://www.allrecipes.com/recipe/19511/smoked-salmon-sushi-roll/
tacos,https://www.allrecipes.com/recipe/217890/ranch-chicken-tacos/
octopus balls,https://www.allrecipes.com/recipe/283774/takoyaki-sauce/
tiramisu,https://www.allrecipes.com/recipe/21412/tiramisu-ii/
tuna tartare,https://www.allrecipes.com/recipe/75439/tuna-tartare/
waffles,https://www.allrecipes.com/recipe/22180/waffles-i/
